,tc,family,cf,order
105080.cif,11.633333,others,Mo0.6Re0.4,disorder
26387.cif,4.0,others,Mo15In3.3Se19,disorder
Hf1H10.cif,224.0,h_based,Hf1H10,order
619385.cif,6.95,others,Ir4Ca3Sn13,order
192296.cif,3.833333,heavy-Fermion,La1Pt1Si1,disorder
603586.cif,3.4,others,Mo6Sn1Se8,order
252376.cif,1.8,others,Mo6S8,order
105590.cif,2.98,others,Pb2Pd1,order
181157.cif,2.892,others,Sr1Pd2Ge2,order
58722.cif,2.3,others,Be2Nb3,order
421388.cif,29.0,others,C60Rb4,disorder
196975.cif,3.005,others,Pt1V3,order
261871.cif,5.4,heavy-Fermion,La2Sn5,order
109266.cif,4.3,others,Hf5Re24,order
103659.cif,2.25,heavy-Fermion,Lu1Ga3,order
89182.cif,71.6,cuprate,Ba2Ca0.2Cu3O7Y0.8,disorder
74704.cif,3.695,others,Ta1Pb1Se2,order
671243.cif,15.880667,heavy-Fermion,Lu1Ni2B2C1,order
Bi1H2.cif,39.0,h_based,Bi1H2,order
52288.cif,5.2,others,Tl7Sb2,order
648950.cif,4.993333,others,Y1Pd2Sn1,order
57505.cif,4.4,others,Sc1Au2Al1,order
653296.cif,6.09,others,Ti1V1,disorder
67426.cif,7.38,cuprate,Bi2Cu1O6Sr2,order
616761.cif,0.76,heavy-Fermion,La2Bi1,order
50096.cif,94.2,cuprate,Ba2Cu1Hg1O4.2,disorder
173375.cif,1.86,others,B1I3,order
186656.cif,11.02,iron-based,As1Co0.1Fe0.9La1O1,disorder
180604.cif,10.0,iron-based,Fe1S0.1Te0.9,disorder
106145.cif,10.99,others,Tc0.95V0.05,disorder
44425.cif,2.09,heavy-Fermion,Th1Ir3B2,order
90433.cif,1.24,others,Pt1Nb1Si1,order
70062.cif,7.0,others,Ba6C60,order
417662.cif,6.3,others,Ba1Al1Ge1,order
104313.cif,0.935,others,Hg1Mg1,order
161918.cif,30.15,others,B1.84C0.16Li0.09Mg0.91,disorder
108149.cif,6.0,others,Ba1Rh2,order
180617.cif,2.0,others,Nb2C1As1,order
170775.cif,1.05,heavy-Fermion,La1Mg2,order
59555.cif,3.64,others,Tl0.75In0.25,disorder
650143.cif,1.58,others,Re0.65Ta0.35,disorder
652552.cif,2.84,others,W3Si2,order
105597.cif,4.13,others,Y1Pb1Pd2,order
65919.cif,20.0,cuprate,Cu1La0.75O3.95Sm1Sr0.25,disorder
97222.cif,30.0,cuprate,Ba0.136Cu1La1.776Nd0.074O4Sr0.014,disorder
105228.cif,6.5,others,Nb3Si0.6Sn0.4,disorder
44650.cif,4.51,others,In0.4Sn0.6Te1,disorder
641768.cif,1.835,heavy-Fermion,La7Ru3,order
608026.cif,11.17,others,V3Al0.3Ge0.7,disorder
290700.cif,16.475,iron-based,Li1Fe1As1,order
162823.cif,27.6,iron-based,As1Ce1F0.08Fe1O0.92,disorder
58794.cif,3.575,others,Bi2K1,order
58721.cif,2.15,others,Be2Nb1,order
181533.cif,40.85,iron-based,Ce1Fe1As1O0.84F0.16,disorder
673853.cif,13.9,others,V3In1,order
625310.cif,2.5,heavy-Fermion,Yb3Co4Sn13,order
Sc1H12.cif,141.0,h_based,Sc1H12,order
636927.cif,3.6,heavy-Fermion,Lu3Os4Ge13,order
676102.cif,0.669222,heavy-Fermion,Ce1Pt3Si1,order
43994.cif,5.6,others,Pt3Ba0.67B2,disorder
166382.cif,5.0,others,Sr1Ga1Si1,disorder
53884.cif,1.1,heavy-Fermion,Th1Pd2Ge2,order
614832.cif,5.09,others,Re1Mo1B1,disorder
59187.cif,2.425,others,Pt1Sr1As1,order
641498.cif,3.6,heavy-Fermion,La3Ni1,order
653336.cif,1.52,others,Y1Tl3,order
89169.cif,57.45,cuprate,Ba1.7Cu3La0.3O7Y1,disorder
183514.cif,45.0,cuprate,Ce0.6Cu2Gd1.4O10Ru1Sr2,disorder
58110.cif,5.4,others,Os4Al13,order
161279.cif,50.5,iron-based,Tb1Fe1As1O0.9F0.1,disorder
161758.cif,1.3,heavy-Fermion,Ce1Bi1Pd1,order
649780.cif,1.58,others,Pt1Tl2,order
150740.cif,3.68,heavy-Fermion,Th1Ru2,order
40427.cif,4.4,heavy-Fermion,La2Rh3Si5,order
637720.cif,0.244,heavy-Fermion,U1Rh1Ge1,order
N2S1H8.cif,4.0,h_based,N2S1H8,order
Bi1H4.cif,93.0,h_based,Bi1H4,order
430063.cif,4.6,others,Bi2Ba1Ti2O1,order
191042.cif,5.0,iron-based,Br0.3Fe1Se0.7,disorder
641650.cif,2.2,heavy-Fermion,La3Pb13Rh4,order
246433.cif,7.1,heavy-Fermion,B2C1Er0.8Ni2Tb0.2,disorder
648506.cif,4.05,others,Pb1Sb1,disorder
644389.cif,6.38,others,Y1Mo6Se8,order
44574.cif,1.79,heavy-Fermion,Th1Ru3B2,order
670654.cif,1.68,others,Y1Ga2,order
641764.cif,4.875,heavy-Fermion,La3Ru1,order
104695.cif,1.75,heavy-Fermion,La1Tl1.5Pb1.5,disorder
Th1H9.cif,145.0,h_based,Th1H9,order
59466.cif,4.435,others,In0.9Pb0.1,disorder
53567.cif,7.3,others,Nb3Ga0.5Ge0.5,disorder
157439.cif,6.318,others,Os2Rb1O6,order
105717.cif,0.75,heavy-Fermion,Th2Pd1,order
193597.cif,30.1,iron-based,Ba1Fe2P0.48As1.52,disorder
650642.cif,1.1,heavy-Fermion,Th1Ru2Si2,order
104376.cif,3.28,others,Hg3Zr1,order
606036.cif,0.0475,others,Au1Al2,order
620174.cif,2.4,others,Mo6Cd1Se8,order
63336.cif,89.025,cuprate,Ba2Cu3O6.88Y1,disorder
291998.cif,6.0,others,Nb4Co1Si1,order
108341.cif,4.83,others,Cr0.1Nb0.9,disorder
638584.cif,3.5,others,Hf1Ir1Si1,order
H3Ru1.cif,3.57,h_based,H3Ru1,order
H4Ta1.cif,31.0,h_based,H4Ta1,order
105602.cif,7.2,others,Pt1Pb1,order
74111.cif,14.0,cuprate,Ba0.24Cu1La1.76O4,disorder
104567.cif,0.067,others,Ir0.9Ta0.1,disorder
633602.cif,1.3825,heavy-Fermion,Tm2Fe3Si5,order
196899.cif,20.2,others,Nb3Al0.75Ge0.25,disorder
58817.cif,2.516667,others,Bi1Nb3,order
621952.cif,0.356667,heavy-Fermion,Ce1Rh2Si2,order
672715.cif,1.27,others,Ca1Pd2As2,order
105930.cif,0.6,others,Rh1Sn2,order
190485.cif,3.1,heavy-Fermion,La3Rh4Sn13,order
641110.cif,5.185,others,Ir1Ti3,order
418391.cif,6.7,others,Sr1Al1Ge1,order
H2I1.cif,33.0,h_based,H2I1,order
41498.cif,43.0,cuprate,Cu1La2O4.12,disorder
634281.cif,1.3,others,Sr1Ga1Ge1,order
248481.cif,0.9,heavy-Fermion,La1Pt1Bi1,order
247282.cif,6.0,iron-based,Fe1.035Se0.22Te0.78,disorder
58185.cif,0.75,heavy-Fermion,Th1Al3,order
59569.cif,0.96,others,Y1In3,order
674882.cif,3.755,others,Sn1As1,order
629705.cif,2.95,heavy-Fermion,Dy1Ga6,order
616698.cif,5.05,others,Bi0.1In0.9,disorder
251015.cif,2.46,others,Ca1Al0.74Si1.26,disorder
615147.cif,1.4,others,Y1Os1B4,order
423290.cif,3.025,heavy-Fermion,La2Sb1,order
619128.cif,13.0,others,C2.9Y1.8Zr0.2,disorder
76293.cif,2.6,others,Y3Pt4Ge6,order
617689.cif,8.2,others,C3Er0.2Th1.8,disorder
157584.cif,6.0,heavy-Fermion,Pr1Pt2B2C1,order
69004.cif,4.3,others,Mo15Se19,order
619329.cif,2.1,others,Ca3Rh4Ge13,order
639830.cif,1.3,others,K2Mo15In1Se19,disorder
89194.cif,45.4,cuprate,Ba2Cu3O6.51Y1,disorder
671242.cif,10.5,others,Y1Pt2B2C1,order
619102.cif,14.5,others,C2.9W0.2Y1.8,disorder
65423.cif,93.0,cuprate,Ba2Cu3O6.85Y1,disorder
97066.cif,90.575,cuprate,Ba2Cu3O6.97Y1,disorder
636754.cif,1.1,heavy-Fermion,U1Ir2Ge2,order
97219.cif,32.0,cuprate,Ba0.112Cu1La1.85O4Sr0.038,disorder
261540.cif,22.9,others,Hf1Na0.28N1Cl1,disorder
610776.cif,3.2,heavy-Fermion,La1Os4As12,order
651684.cif,5.611667,others,Ti3Sb1,order
Ca1Y1H12.cif,258.0,h_based,Ca1Y1H12,order
257744.cif,0.69,others,Y1V2Al20,order
241438.cif,21.666667,iron-based,Eu1Ir0.28Fe1.72As2,disorder
73331.cif,2.7,others,W5Si3,order
194235.cif,6.1,others,Ir4Ba3Ge16,order
192303.cif,11.8,iron-based,As2Ba0.8Fe2Na0.2,disorder
604422.cif,7.833333,heavy-Fermion,Yb3Rh4Sn13,order
H1Po1.cif,0.65,h_based,H1Po1,order
H12Sn1.cif,93.0,h_based,H12Sn1,order
106076.cif,6.6925,others,Ta3Sn1,order
89167.cif,79.05,cuprate,Ba1.8Cu3La0.2O7Y1,disorder
N1S1H5.cif,49.9,h_based,N1S1H5,order
28445.cif,1.102857,others,Re2Cd2O7,order
Be1H2.cif,62.0,h_based,Be1H2,order
44655.cif,1.2,others,In3Te4,order
657555.cif,2.5,others,K1Na2C60,disorder
617008.cif,2.04,others,Bi1Rh1,order
In1H3.cif,40.5,h_based,In1H3,order
103902.cif,2.87,others,Zr1Ni2Ga1,order
H5Te2.cif,58.0,h_based,H5Te2,order
65865.cif,30.0,cuprate,Cu1La2O4.032,disorder
58407.cif,0.34,others,Au5Ca1,order
618149.cif,10.66,others,La2C3,order
104166.cif,0.1,others,Ag0.65Al0.35,disorder
102779.cif,0.256,others,Ir1Cr3,order
75610.cif,2.786667,heavy-Fermion,Lu1Ni1B1C1,order
102802.cif,2.66,others,Pb2Rh1,order
184640.cif,14.333333,iron-based,Fe1Se0.3Te0.7,disorder
189028.cif,10.0,iron-based,As2Ba0.825Fe2K0.175,disorder
612288.cif,0.29,others,Au1Sb2,order
193321.cif,2.1,heavy-Fermion,Ce1Pt2In7,order
640569.cif,5.5,others,In3Sn1,disorder
644856.cif,8.95,others,V1N1,order
104536.cif,4.41,heavy-Fermion,Th1Os0.6Ir1.4,disorder
671240.cif,10.25,heavy-Fermion,La1Pt2B2C1,order
617983.cif,10.6,others,C2.7Ge0.2Y1.8,disorder
652176.cif,3.25,others,Y1Se1,order
627675.cif,0.084,others,Cu0.85Ge0.15,disorder
633446.cif,4.57,others,Sc2Fe3Si5,order
618965.cif,10.7,others,C2.7Ti0.2Y1.8,disorder
645153.cif,2.86,others,Os1Nb1,disorder
H2Nb1.cif,4.0,h_based,H2Nb1,order
56645.cif,0.05,heavy-Fermion,Ce1Ni2B2C1,order
181444.cif,6.0,iron-based,As1Fe0.92Ni0.08O1Sm1,disorder
192249.cif,2.1,heavy-Fermion,La1Bi2Pd0.85,disorder
43317.cif,0.8,others,Ru1B2,order
26597.cif,3.81,others,Sn1O1,order
615710.cif,5.692857,others,Y1B6,order
Li2Au2H1.cif,0.02,h_based,Li2Au2H1,order
615364.cif,7.27,others,Sc1Ru4B4,order
246432.cif,3.1,heavy-Fermion,B2C1Co0.1Er1Ni1.9,disorder
237706.cif,5.936667,others,Mo3P1,order
236296.cif,12.0,others,C0.681Mo1,disorder
414303.cif,2.225,others,Ir2Ga9,order
671985.cif,39.0,others,Mg1B2,order
647731.cif,1.60125,heavy-Fermion,Pr1Os4Sb12,order
261651.cif,4.0,others,Ba1Ge3,order
198771.cif,1.1125,heavy-Fermion,Ce1Co2,order
104725.cif,1.5,heavy-Fermion,La1Tl1.5Sn1.5,disorder
651574.cif,3.89,others,Sb0.08Sn0.92,disorder
602892.cif,4.0,others,Ta1B1,order
184641.cif,14.1,iron-based,Fe1Se0.4Te0.6,disorder
253810.cif,7.7,others,W1Rb0.33O3,order
648834.cif,1.1,others,Pd17Se15,order
191390.cif,5.41,others,Co0.8Cu0.2Zr2,disorder
81174.cif,92.475,cuprate,Ba2Cu3Ho1O7,order
650354.cif,1.4,others,Y1Rh2Si2,order
612699.cif,1.57,others,Pt3Ca0.67B2,disorder
58821.cif,3.935,others,Bi3Ni1,order
644115.cif,3.2,others,Pb1Mo6S4Se4,disorder
628435.cif,10.615,others,Mo6Cu2S8,disorder
618127.cif,3.1,others,Ti2In1C1,order
107019.cif,9.61,heavy-Fermion,La3In1,order
673464.cif,2.925,others,Ga1N1,order
192214.cif,4.64,others,Nd1Bi1O0.7S2F0.3,disorder
83923.cif,72.025,cuprate,Ba2Cu4O8Pr0.1Y0.9,disorder
172793.cif,2.425,heavy-Fermion,La3Co4Sn13,order
650458.cif,2.15,heavy-Fermion,Th7Rh3,order
658347.cif,1.17,heavy-Fermion,Yb1Pd2Ge2,order
83070.cif,32.0,cuprate,Ba2Cu3O6.96Pr0.4Y0.6,disorder
614804.cif,4.1125,others,Mo2B1,order
197275.cif,0.69,others,Zr1Ga3,order
612206.cif,12.5,others,Pt0.3Au0.7Nb3,disorder
642540.cif,1.7,heavy-Fermion,Lu1Re2,order
609356.cif,15.7,others,Al0.2Si0.8V3,disorder
602887.cif,0.23,heavy-Fermion,Yb1Pb3,order
58396.cif,1.775,others,Au1Be1,order
38342.cif,1.473333,heavy-Fermion,La1Ir1Si3,order
609742.cif,0.73,others,Zr3Al1,order
604623.cif,1.658,heavy-Fermion,La1Rh2Si2,order
641715.cif,1.4325,heavy-Fermion,La1Pt2Si2,order
641033.cif,2.906667,others,Y5Ir4Si10,order
78871.cif,5.05,others,Y2C2Br2,order
65053.cif,2.66,others,Pd34Se11,order
104303.cif,1.2,others,Hg2K1,order
70020.cif,0.30475,others,K1C8,order
H6Sr1.cif,156.0,h_based,H6Sr1,order
192308.cif,24.2,iron-based,As2Ba0.3Fe2Na0.7,disorder
56649.cif,5.033571,heavy-Fermion,Dy1Ni2B2C1,order
639037.cif,3.81,others,Hg0.5In0.5,disorder
636767.cif,2.76,others,Y5Ir4Ge10,order
198006.cif,1.6,heavy-Fermion,La1Si2,order
603067.cif,0.14,heavy-Fermion,Ce1Pt1Si2,order
642558.cif,1.545,heavy-Fermion,Lu1Ru2,order
635420.cif,11.9,others,Ga0.8Si0.2V3,disorder
192620.cif,0.32,heavy-Fermion,Ce3Pt1In11,order
180607.cif,7.28,iron-based,Fe1S0.25Te0.75,disorder
105500.cif,0.85,heavy-Fermion,La1Pd2Al3,order
71217.cif,4.38,others,Ta4Pd3Te16,order
673904.cif,4.2,others,Ge1P1,order
58900.cif,1.6,others,Hg1Ca1,order
108145.cif,6.4,others,Ca1Rh2,order
281413.cif,6.0,others,Ba6.63Si46,disorder
58634.cif,5.745,others,Bi3Ba1,order
42549.cif,1.15,others,Pt1Bi1Te1,order
624539.cif,1.37,others,U6Co0.5Ni0.5,disorder
641991.cif,6.358286,heavy-Fermion,La1Sn3,order
192298.cif,5.3,iron-based,As2Ba0.85Fe2Na0.15,disorder
65879.cif,88.0,cuprate,Ba2Cd0.25Cu1O6Tl1.75,disorder
78264.cif,1.23,heavy-Fermion,La1Ni1Si1,order
641184.cif,3.5,others,Y1Ir3,order
618304.cif,7.4,others,Mo3C2,disorder
165970.cif,2.05,heavy-Fermion,La1B6,order
H1Se2.cif,5.0,h_based,H1Se2,order
640828.cif,4.675,others,Ir1.15Nb0.85,disorder
153549.cif,6.0,others,Mg1Al1Si1,order
104744.cif,11.0,others,Mg0.1Li0.9,disorder
650662.cif,3.51,others,Y1Ru3Si2,order
41986.cif,41.45,cuprate,Cu1La0.1O2Sr0.9,disorder
75694.cif,30.0,cuprate,Ce0.6Cu3Eu1.6O8.6Sr1.8,disorder
620734.cif,0.676667,heavy-Fermion,Ce1Co1Ge3,order
76162.cif,3.5375,others,Sr1,order
259488.cif,1.04,others,Ta0.8W0.2,disorder
416423.cif,0.48,heavy-Fermion,La1Pt2Ge2,order
58942.cif,2.04,others,Tl3Ca1,order
653041.cif,7.6,others,Zr1Tc2,order
88075.cif,2.35,others,Y1Ge3,order
41363.cif,92.0,cuprate,Ba2Cu3Er1O6.91,disorder
676068.cif,1.55,others,Al1N1,order
44343.cif,3.05,others,Ru7B3,order
57072.cif,1.976667,heavy-Fermion,La1Ge2,order
645269.cif,2.742333,others,Nb3Rh1,order
650868.cif,3.7,others,Ta1S1Se1,disorder
44921.cif,0.56,others,Lu1Se1,order
75893.cif,88.65,cuprate,Ba2Cu3O6.82Y1,disorder
614695.cif,2.66,heavy-Fermion,Lu1Os1B2,order
642164.cif,2.6,others,Li2Mo15Se19,order
67810.cif,3.93,others,Ba1Bi0.35O3Pb0.65,disorder
104724.cif,4.67,others,La0.5Th0.5Sn3,disorder
104817.cif,3.05,heavy-Fermion,Lu1Pd2Sn1,order
Y1H6.cif,290.0,h_based,Y1H6,order
67712.cif,40.0,cuprate,Ba2Cu1O6.056Tl2,disorder
80091.cif,0.9,others,Ti1Se2,order
612672.cif,1.8,others,Y1B2C2,order
618377.cif,17.9,others,Nb1C0.5N0.5,disorder
42554.cif,1.61,others,Pd1Te2,order
160383.cif,4.9,others,Bi1Sn1,order
650643.cif,3.98,heavy-Fermion,Th1Ru3Si2,order
670727.cif,0.71,others,Ti1Co1,order
653019.cif,8.7,others,Tc0.875Ti0.125,disorder
63692.cif,59.626,cuprate,Ba2Cu3O6.61Y1,disorder
670698.cif,5.6,others,Ti1N1,order
105632.cif,5.55,heavy-Fermion,Th1Pb3,order
44432.cif,1.88,others,Y0.5La0.5Rh3B2,disorder
230025.cif,1.9,heavy-Fermion,Lu1Pt2Si2,order
Li1B1H2.cif,10.0,h_based,Li1B1H2,order
106037.cif,0.65,others,V3Sb1,order
197176.cif,2.133333,others,W2B1,order
68893.cif,30.0,cuprate,Ca0.2Cu1La1.8O4,disorder
641785.cif,3.5,heavy-Fermion,La1Ru2Si2,order
616431.cif,1.0,others,Ta3Be2,order
640764.cif,1.198333,heavy-Fermion,La1Ir2Si2,order
990.cif,0.6,others,Ru1Sb1,order
196575.cif,9.8,others,C1Nb0.25Ta0.75,disorder
88210.cif,6.0,others,Zr1V1Ge1,order
106190.cif,1.36,others,Ti0.3Zr0.7,disorder
92883.cif,37.5,cuprate,Cu1Nd0.14O2Sr0.86,disorder
616956.cif,1.0,others,Bi1Pd1Se1,order
619114.cif,14.85625,others,Y2C3,order
257264.cif,6.09,others,Zr1B12,order
181442.cif,7.5,iron-based,As1Fe0.96Ni0.04O1Sm1,disorder
198620.cif,15.5,others,Mo1Ni1P1,order
56782.cif,6.725714,others,La3S4,order
602358.cif,1.4,others,K1Cu4S3,order
650522.cif,0.19,others,Rh1V3,order
26570.cif,2.41,heavy-Fermion,Th1Si1,order
104300.cif,3.81,others,Hg1In1,order
637761.cif,1.1,heavy-Fermion,Th1Ru2Ge2,order
80277.cif,27.0,cuprate,Ca0.35Cu2Ga1O7Sr2Y0.65,disorder
644439.cif,4.54,others,Mo0.6V2.4Si1,disorder
637475.cif,1.1,heavy-Fermion,Th1Os2Ge2,order
657574.cif,1.864,heavy-Fermion,U1Pd2Al3,order
97102.cif,134.0,cuprate,Ba2Ca2Cu3Hg1O8.35,disorder
671241.cif,22.6,others,Y1Pd2B2C1,order
291692.cif,6.72,others,Ag0.76Se2Sn1.24,disorder
634508.cif,1.97,heavy-Fermion,La1Ni1Ga2,order
426417.cif,2.1,others,Nb3Pd0.7Se7,disorder
78456.cif,92.45,cuprate,Ba2Cu3Gd1O6.99,disorder
189031.cif,23.5,iron-based,As2Ba0.78Fe2K0.22,disorder
99287.cif,86.0,cuprate,Ba1.6Cu3Nd1O6.94Sr0.4,disorder
169556.cif,7.1,iron-based,Ba1Ru0.76Fe1.24As2,disorder
640030.cif,7.3,others,Ti2In1N1,order
672132.cif,1.306667,others,Co1Si2,order
173902.cif,82.0,cuprate,Al0.11Ba2Cu2.89O7Y1,disorder
608629.cif,1.3,others,Nb3Al2N1,order
634759.cif,1.35,others,Nb5Ga3,order
185432.cif,28.0,cuprate,Ca0.25Cu2Ga1O7Sr2Tm0.75,disorder
81160.cif,60.0,cuprate,Ca0.8Cu2O6.862Sr2Tl1.2,disorder
80200.cif,3.586667,iron-based,Pr1Fe1P1O1,order
616395.cif,2.3,others,Pt1Be5,order
648037.cif,8.496154,others,Zr1Ru1P1,order
H3Tc1.cif,9.94,h_based,H3Tc1,order
261544.cif,19.0,others,Cl1Hf1N1Na0.29,disorder
161972.cif,88.24,cuprate,Ba2Cu3Lu1O7,order
180104.cif,6.0,iron-based,Sr4Mg1Ti1Fe2As2O6,disorder
57906.cif,3.66,others,Hf1Pd2Al1,order
76344.cif,3.8,others,Y1Ge2,order
671505.cif,0.75,heavy-Fermion,Th1Pt3B1,order
51958.cif,1.19,heavy-Fermion,La1In1.5Sn1.5,disorder
642165.cif,3.5,others,Li3Mo15Se19,disorder
650529.cif,0.65,others,Y3Rh1,order
66497.cif,67.1,cuprate,Ba2Ca0.2Cu3O7Pr0.2Y0.6,disorder
648318.cif,4.5,others,Zr3P1,order
26619.cif,0.755,others,Rh1Te2,order
108608.cif,1.97,others,Mo1Rh1,order
65052.cif,0.53,others,Pd7Se2,order
57248.cif,0.465,heavy-Fermion,Er2Fe3Si5,order
641557.cif,2.285,heavy-Fermion,La1Pt0.5Ni0.5Si1,disorder
156997.cif,0.48,heavy-Fermion,La3Ni4Si4,order
259507.cif,8.86,others,Zr0.6Nb0.4,disorder
186653.cif,8.58,iron-based,As1Co0.025Fe0.975La1O1,disorder
629361.cif,0.2,heavy-Fermion,Th1Cu6,order
174552.cif,8.253333,heavy-Fermion,La1Pt4Ge12,order
189035.cif,38.0,iron-based,Ba0.5K0.5Fe2As2,disorder
Pu1Co1Ga5.cif,18.5,others,Pu1Co1Ga5,order
657329.cif,27.0,others,Rb2K1C60,disorder
636837.cif,3.4,heavy-Fermion,La1Pt1Ge1,order
189033.cif,28.45,iron-based,As2Ba0.75Fe2K0.25,disorder
108108.cif,5.584,others,Bi1In2,order
H1Br1.cif,30.0,h_based,H1Br1,order
640562.cif,5.95,others,In0.75Sn0.25,disorder
58589.cif,0.9,others,Au5Sn1,order
636821.cif,0.345,heavy-Fermion,La1Ni2Ge2,order
659142.cif,1.021,heavy-Fermion,U1Ni2Al3,order
641913.cif,0.13,heavy-Fermion,Y1La3Sb3,disorder
291424.cif,21.0,iron-based,As2Ca0.6Fe2Na0.4,disorder
180269.cif,3.525,others,Sc2Sr4Ni2P2O6,order
Mg1Si1H6.cif,63.0,h_based,Mg1Si1H6,order
183370.cif,3.0,others,Ni3Zn1N1,order
638749.cif,2.27,others,Hf1Os2,order
69481.cif,8.8,cuprate,Ce0.15Cu1La1Nd0.85O4,disorder
637728.cif,1.35,others,Y5Rh4Ge10,order
281412.cif,8.5,others,Ba7.76Si46,disorder
Y1S1H6.cif,91.0,h_based,Y1S1H6,order
675364.cif,1.975,others,In1N1,order
30838.cif,0.75,heavy-Fermion,La1Pd2P2,order
83092.cif,70.0,cuprate,Ca2Cu3Ga1O9Sr2,disorder
Cr1H3.cif,28.2,h_based,Cr1H3,order
60072.cif,5.7,others,Zr2Ru3Si4,order
614715.cif,10.054,heavy-Fermion,Lu1Ru1B2,order
650389.cif,4.216667,others,Sr3Rh4Sn13,order
427113.cif,0.785,others,Y1Pd2Si2,order
616336.cif,2.5275,others,Be22Mo1,order
190704.cif,0.92,others,Sr1Pd2As2,order
192781.cif,14.7,others,Mo1C0.75,disorder
659960.cif,3.01,others,Pd1Te1,order
618498.cif,11.1,others,Ta0.5Nb0.5C1,disorder
246415.cif,2.493333,heavy-Fermion,La3Pd4Ge4,order
643172.cif,1.6,heavy-Fermion,U6Mn0.33Ni0.67,disorder
291697.cif,6.415,others,Ag0.81Se2Sn1.19,disorder
43281.cif,1.9425,others,Nb3Se4,order
417472.cif,3.15,heavy-Fermion,La3Ru8B6,order
619211.cif,5.75,others,Ca3Co4Sn13,order
85408.cif,2.686667,others,Ba1Ni2P2,order
650397.cif,1.9,heavy-Fermion,Th3Rh4Sn13,order
Os1H1.cif,2.1,h_based,Os1H1,order
105184.cif,0.663333,others,Os1Nb3,order
73485.cif,45.2,cuprate,Cu1La2O4.086,disorder
261396.cif,16.0,iron-based,Sm1Ir0.15Fe0.85As1O1,disorder
609200.cif,3.35,others,Re24Al5,order
625638.cif,2.033333,others,Y4Co3,disorder
610771.cif,6.5,heavy-Fermion,La4As3,order
106009.cif,0.0725,heavy-Fermion,U1Ru3,order
647804.cif,1.1,others,Y1Os2Si2,order
659992.cif,1.55,others,Sr1Si2,order
637137.cif,2.1792,others,Mo3Ge1,order
74246.cif,59.533333,cuprate,Ba2Cu3O6.64Y1,disorder
652507.cif,16.708333,others,V3Si1,order
645279.cif,3.07,others,Nb0.9Rh1.1,disorder
85393.cif,64.5,cuprate,Ba2Cu1Hg1O4.01,disorder
51969.cif,0.24,heavy-Fermion,Lu1In3,order
621363.cif,0.13,heavy-Fermion,Ce1In3,order
92385.cif,15.6,cuprate,Cu0.8La1.85Mg0.2O4Sr0.15,disorder
642575.cif,1.1,others,Lu1S1,order
74270.cif,30.0,cuprate,C1Bi2Cu2O11Sr4,disorder
629373.cif,3.465,heavy-Fermion,Th2Cu1,order
82833.cif,88.2,cuprate,Ba2Ca0.05Cu3O6.94Y0.95,disorder
165983.cif,6.99,iron-based,Fe1Se0.99,disorder
644106.cif,12.45,others,Pb1Mo6S8,order
104822.cif,1.27,others,Lu0.275Rh0.725,disorder
171030.cif,1.0,others,Pd1Sb1Se1,order
612077.cif,1.9,others,Y1Au2In1,order
186654.cif,12.01,iron-based,As1Co0.05Fe0.95La1O1,disorder
89181.cif,4.96,cuprate,Ba0.13Cu1La1.87O4,disorder
15790.cif,10.05,others,Li1.1O4Ti1.9,disorder
616499.cif,4.12,others,W1Be22,order
657383.cif,3.6,heavy-Fermion,La1Sn2,order
602898.cif,3.4625,others,Rh2Cu1Se4,order
657554.cif,1.966667,others,Rb1Na2C60,disorder
Sc1Y1H6.cif,32.11,h_based,Sc1Y1H6,order
Hf1H2.cif,12.0,h_based,Hf1H2,order
608716.cif,16.2,others,Nb3Al0.5Sn0.5,disorder
658217.cif,2.7,heavy-Fermion,La1Pd1Sb2,order
86969.cif,24.0,cuprate,Ca0.12Cu1La1.88O4,disorder
625483.cif,3.44,others,Ti2Co1,order
650532.cif,1.07,others,Y1Rh3,order
107988.cif,0.0682,others,Au0.92Ga0.04In0.04,disorder
641018.cif,0.95,heavy-Fermion,Tm5Ir4Si10,order
169743.cif,20.8,iron-based,As1.06Ba1Fe2P0.94,disorder
609502.cif,2.6,heavy-Fermion,Th3Al2,order
645246.cif,6.75,others,Nb0.25Re0.75,disorder
158364.cif,0.41,others,Pd2Sn1,order
263018.cif,20.125,iron-based,Ba2Ti2Fe2As4O1,order
100599.cif,13.4,others,Mo6S6Br2,order
671446.cif,12.9,others,Mg0.5B2Al0.5,disorder
58122.cif,3.4,others,Zr1Pd2Al1,order
79037.cif,12.0,cuprate,Cu1La1.35O4Sm0.45Sr0.2,disorder
102806.cif,0.38,others,Zr2Ga1,order
104229.cif,10.67,others,Hf0.84Nb0.16V2,disorder
77862.cif,0.61,others,Pa1,order
642481.cif,3.49,heavy-Fermion,Lu1Os2,order
600713.cif,8.45,others,Yb1Mo6S8,order
184638.cif,12.9,iron-based,Fe1Se0.2Te0.8,disorder
85394.cif,88.85,cuprate,Ba2Cu1Hg1O4.27,disorder
670639.cif,4.75,others,Sr1Al1Si1,order
611870.cif,0.168,others,Au0.92Ga0.08,disorder
649092.cif,0.081,others,Pd1V3,order
186657.cif,6.6,iron-based,As1Co0.125Fe0.875La1O1,disorder
H2S1.cif,86.0,h_based,H2S1,order
K1H6.cif,69.8,h_based,K1H6,order
184639.cif,13.225,iron-based,Fe1Se0.25Te0.75,disorder
605379.cif,0.0074,others,Ag0.81In0.19,disorder
