,tc,family,cf,order
158364.cif,0.41,others,Pd2Sn1,order
100785.cif,7.316,heavy-Fermion,La1Ru3Si2,order
633652.cif,1.595,others,Y2Fe3Si5,order
635498.cif,2.5,heavy-Fermion,Tb1Ga6,order
Tb1H6.cif,148.3,h_based,Tb1H6,order
57486.cif,1.1,heavy-Fermion,U1Rh2Si2,order
H6Ta1.cif,135.8,h_based,H6Ta1,order
291998.cif,6.0,others,Nb4Co1Si1,order
103659.cif,2.25,heavy-Fermion,Lu1Ga3,order
H3Ru1.cif,3.57,h_based,H3Ru1,order
612635.cif,1.2,heavy-Fermion,Lu1B2C2,order
641026.cif,1.1,heavy-Fermion,U1Ir2Si2,order
Bi1H3.cif,65.0,h_based,Bi1H3,order
74877.cif,2.08,iron-based,Cs1Fe2As2,order
646714.cif,1.6,heavy-Fermion,Sm1Ni1,order
658225.cif,0.9,heavy-Fermion,La1Cu1Sb2,order
619356.cif,1.6,others,Hg3Ca1,order
H1Br1.cif,30.0,h_based,H1Br1,order
650738.cif,1.07,others,Ru1Ti1,order
52288.cif,5.2,others,Tl7Sb2,order
641749.cif,4.35,heavy-Fermion,La1Rh1Si1,order
641184.cif,3.5,others,Y1Ir3,order
650212.cif,6.366667,others,Re2Zr1,order
108148.cif,0.35,others,Pt2Sr1,order
198657.cif,1.231538,heavy-Fermion,U1Ru2Si2,order
414303.cif,2.225,others,Ir2Ga9,order
672003.cif,3.6,heavy-Fermion,Yb1Sn3,order
88210.cif,6.0,others,Zr1V1Ge1,order
165970.cif,2.05,heavy-Fermion,La1B6,order
617156.cif,5.7,others,Bi3Sr1,order
Li1Au1H1.cif,4.69,h_based,Li1Au1H1,order
648956.cif,2.39,heavy-Fermion,Yb1Pd2Sn1,order
417473.cif,5.8,others,Y3Os8B6,order
Tb1H3.cif,20.0,h_based,Tb1H3,order
174554.cif,7.876,heavy-Fermion,Pr1Pt4Ge12,order
601555.cif,1.12,others,Ir1V2B2,order
105406.cif,1.975,heavy-Fermion,Th7Ni3,order
635402.cif,5.8,others,Ta4Ga1Se8,order
H2Tc1.cif,8.61,h_based,H2Tc1,order
261871.cif,5.4,heavy-Fermion,La2Sn5,order
616395.cif,2.3,others,Pt1Be5,order
44343.cif,3.05,others,Ru7B3,order
602887.cif,0.23,heavy-Fermion,Yb1Pb3,order
263006.cif,6.78,heavy-Fermion,Lu1Si3,order
57072.cif,1.976667,heavy-Fermion,La1Ge2,order
58110.cif,5.4,others,Os4Al13,order
618127.cif,3.1,others,Ti2In1C1,order
619308.cif,1.7,others,Ir4Ca3Ge13,order
37186.cif,2.6,others,Ag1Te3,order
Li1P2H14.cif,169.0,h_based,Li1P2H14,order
641647.cif,4.086667,heavy-Fermion,La1Pb3,order
647807.cif,1.72,others,Os1Zr1Si1,order
615147.cif,1.4,others,Y1Os1B4,order
650551.cif,7.65,others,Zr3Rh1,order
102109.cif,0.4,heavy-Fermion,Ce2Co1In8,order
La1H10.cif,254.0,h_based,La1H10,order
636699.cif,1.5,heavy-Fermion,La1Ir2Ge2,order
Os1H1.cif,2.1,h_based,Os1H1,order
H12Sn1.cif,93.0,h_based,H12Sn1,order
247248.cif,4.965,iron-based,Li1Fe1P1,order
657383.cif,3.6,heavy-Fermion,La1Sn2,order
640790.cif,3.82,heavy-Fermion,Lu5Ir4Si10,order
104709.cif,1.85,heavy-Fermion,La2Rh3Sn5,order
650166.cif,5.025,heavy-Fermion,Th1Re2,order
672813.cif,0.795,others,Ta3Al1,order
Pb1H8.cif,107.0,h_based,Pb1H8,order
69004.cif,4.3,others,Mo15Se19,order
634508.cif,1.97,heavy-Fermion,La1Ni1Ga2,order
104499.cif,5.325,others,Ir1Mo1,order
42554.cif,1.61,others,Pd1Te2,order
236950.cif,7.0,heavy-Fermion,La1Ge5,order
183370.cif,3.0,others,Ni3Zn1N1,order
656306.cif,1.9,others,Zr5Sn3,order
620174.cif,2.4,others,Mo6Cd1Se8,order
671042.cif,0.501,others,Ru1,order
191902.cif,1.56,others,Ta2B1,order
106159.cif,0.87,heavy-Fermion,Th1Tl3,order
H6Sr1.cif,156.0,h_based,H6Sr1,order
658208.cif,1.0,heavy-Fermion,La1Ni1Sb2,order
67426.cif,7.38,cuprate,Bi2Cu1O6Sr2,order
H7Sc1.cif,169.0,h_based,H7Sc1,order
56649.cif,5.033571,heavy-Fermion,Dy1Ni2B2C1,order
105597.cif,4.13,others,Y1Pb1Pd2,order
673904.cif,4.2,others,Ge1P1,order
424686.cif,0.8,others,K1Ni2Se2,order
601577.cif,2.6475,heavy-Fermion,Sm1Rh4B4,order
676068.cif,1.55,others,Al1N1,order
198654.cif,2.051667,heavy-Fermion,Ce1Au2Si2,order
645173.cif,4.25,others,Nb1Rh1P1,order
672546.cif,0.17,others,Zr2Fe1,order
81176.cif,92.033333,cuprate,Ba2Cu3Er1O7,order
261651.cif,4.0,others,Ba1Ge3,order
625483.cif,3.44,others,Ti2Co1,order
633908.cif,2.016667,heavy-Fermion,Th7Fe3,order
628790.cif,1.5325,others,Cu1S2,order
614648.cif,2.57,heavy-Fermion,La1Rh3B2,order
650397.cif,1.9,heavy-Fermion,Th3Rh4Sn13,order
2734.cif,1.85,others,Li1Cu2P2,order
650562.cif,11.165,others,Zr2Rh1,order
614695.cif,2.66,heavy-Fermion,Lu1Os1B2,order
103766.cif,0.575,heavy-Fermion,La1Ga2,order
H3Tc1.cif,9.94,h_based,H3Tc1,order
94194.cif,1.5,others,Sr2Ru1O4,order
58747.cif,0.917755,heavy-Fermion,U1Be13,order
671819.cif,4.5975,others,Nb1B2,order
44574.cif,1.79,heavy-Fermion,Th1Ru3B2,order
192620.cif,0.32,heavy-Fermion,Ce3Pt1In11,order
105642.cif,4.72,others,Y1Pb3,order
636932.cif,2.3,heavy-Fermion,Lu3Rh4Ge13,order
52898.cif,1.25,heavy-Fermion,Ce1Ru3Si2,order
67581.cif,1.585,others,Cu1S1,order
634779.cif,1.54,others,Nb1Ni2Ga1,order
650529.cif,0.65,others,Y3Rh1,order
611867.cif,1.2,others,Au1Ga1,order
641028.cif,2.7,others,Y1Ir1Si1,order
621363.cif,0.13,heavy-Fermion,Ce1In3,order
641899.cif,0.8,heavy-Fermion,La1Sb2,order
252019.cif,3.75,others,Ir1Li2Si3,order
16316.cif,6.233333,others,Mo3Se4,order
638584.cif,3.5,others,Hf1Ir1Si1,order
161972.cif,88.24,cuprate,Ba2Cu3Lu1O7,order
411884.cif,0.5,others,Ta1Ir1Si1,order
649774.cif,0.58,others,Pt1Ti3,order
615326.cif,4.448,heavy-Fermion,Th1Rh4B4,order
618218.cif,3.33,others,Lu1C2,order
58582.cif,2.0,others,Sc1Au1,order
637488.cif,3.9,others,Y3Os4Ge13,order
172793.cif,2.425,heavy-Fermion,La3Co4Sn13,order
625339.cif,0.82,others,Ta2Co1,order
77109.cif,1.25,others,Pd1Sb2,order
650354.cif,1.4,others,Y1Rh2Si2,order
164763.cif,2.97,others,Mo3Sb7,order
165332.cif,0.26,others,N1S1,order
647804.cif,1.1,others,Y1Os2Si2,order
104817.cif,3.05,heavy-Fermion,Lu1Pd2Sn1,order
157839.cif,1.0,others,Ca2K1Nb3O10,order
Ba1C2H8.cif,16.2,h_based,Ba1C2H8,order
652831.cif,4.4625,others,V3Sn1,order
641785.cif,3.5,heavy-Fermion,La1Ru2Si2,order
Mg1Si1H6.cif,63.0,h_based,Mg1Si1H6,order
634302.cif,0.21,others,Hf2Ga1,order
640740.cif,2.13,heavy-Fermion,La1Ir5,order
104655.cif,5.343,others,La1,order
182834.cif,7.2,others,Na1Al1Si1,order
636552.cif,2.2,others,Hf1Ge2,order
649860.cif,0.82,others,Y7Pt3,order
618496.cif,3.933333,others,Nb2C1Sn1,order
200563.cif,0.0241,others,Rb1C8,order
611222.cif,2.3825,heavy-Fermion,Pr1Ru4As12,order
27104.cif,1.02,others,La1Se1,order
629373.cif,3.465,heavy-Fermion,Th2Cu1,order
659574.cif,1.1,others,Bi2Rh1,order
671240.cif,10.25,heavy-Fermion,La1Pt2B2C1,order
609742.cif,0.73,others,Zr3Al1,order
603198.cif,5.82,heavy-Fermion,La3Ga1,order
417472.cif,3.15,heavy-Fermion,La3Ru8B6,order
44440.cif,2.0,heavy-Fermion,Lu1Ru4B4,order
58817.cif,2.516667,others,Bi1Nb3,order
246415.cif,2.493333,heavy-Fermion,La3Pd4Ge4,order
431754.cif,0.46,others,K1Ni2S2,order
51969.cif,0.24,heavy-Fermion,Lu1In3,order
645227.cif,9.516429,others,Pt1Nb3,order
644389.cif,6.38,others,Y1Mo6Se8,order
647720.cif,5.3525,others,Os1P1Zr1,order
640781.cif,2.47,heavy-Fermion,Lu1Ir2,order
650458.cif,2.15,heavy-Fermion,Th7Rh3,order
52344.cif,1.675,others,W3O1,order
253703.cif,1.8,others,Bi1Cu1,order
186558.cif,3.1,others,Zr1B1,order
672758.cif,1.55,others,Cr1,order
53884.cif,1.1,heavy-Fermion,Th1Pd2Ge2,order
633446.cif,4.57,others,Sc2Fe3Si5,order
246810.cif,6.7,heavy-Fermion,La1Si10,order
647921.cif,0.35,others,Pd3P1,order
641096.cif,1.52,heavy-Fermion,Th7Ir3,order
614933.cif,3.0,heavy-Fermion,Nd1B6,order
106121.cif,2.133333,others,Ta1V2,order
674044.cif,5.7,others,Ga1As1,order
620169.cif,1.8,others,Mo6Cd1S8,order
652507.cif,16.708333,others,V3Si1,order
H1Po1.cif,0.65,h_based,H1Po1,order
N2S1H8.cif,4.0,h_based,N2S1H8,order
673850.cif,1.0,others,Ba1Rh2P2,order
H4Sn1.cif,62.0,h_based,H4Sn1,order
104303.cif,1.2,others,Hg2K1,order
259588.cif,3.02,others,Cd1Ge1As2,order
58796.cif,2.4625,others,Bi1Li1,order
616761.cif,0.76,heavy-Fermion,La2Bi1,order
650662.cif,3.51,others,Y1Ru3Si2,order
640823.cif,8.031,others,Ir1Mo3,order
644289.cif,12.6,others,Mo6Sn1S8,order
616879.cif,0.73,others,Bi2Ni3Se2,order
105184.cif,0.663333,others,Os1Nb3,order
610989.cif,2.353333,others,Nb3As1,order
68584.cif,118.975,cuprate,Ba2Ca2Cu3O10Tl2,order
674033.cif,1.425,others,C1Si1,order
614804.cif,4.1125,others,Mo2B1,order
620734.cif,0.676667,heavy-Fermion,Ce1Co1Ge3,order
42549.cif,1.15,others,Pt1Bi1Te1,order
638810.cif,5.203333,others,Hf1Re2,order
600713.cif,8.45,others,Yb1Mo6S8,order
81745.cif,0.99,others,Y1Fe2Ge2,order
619385.cif,6.95,others,Ir4Ca3Sn13,order
53891.cif,2.12,others,Rh5Ge3,order
190704.cif,0.92,others,Sr1Pd2As2,order
641905.cif,0.25,heavy-Fermion,La4Sb3,order
638107.cif,6.86,others,Ge1V3,order
104735.cif,1.04,heavy-Fermion,La1Zn1,order
641018.cif,0.95,heavy-Fermion,Tm5Ir4Si10,order
649057.cif,1.32,others,Tl2Pd1,order
Tb1H1.cif,7.3,h_based,Tb1H1,order
650532.cif,1.07,others,Y1Rh3,order
641715.cif,1.4325,heavy-Fermion,La1Pt2Si2,order
42597.cif,1.58,others,Pd1Sb1,order
674394.cif,2.89,others,La1Ni1C2,order
659011.cif,6.6,heavy-Fermion,Th1Pt2B2C1,order
673853.cif,13.9,others,V3In1,order
Tb1H12.cif,170.5,h_based,Tb1H12,order
193890.cif,3.1,heavy-Fermion,La1Ir1As1,order
H1Te1.cif,44.2,h_based,H1Te1,order
23005.cif,0.66,others,Sr1Ni2As2,order
621952.cif,0.356667,heavy-Fermion,Ce1Rh2Si2,order
236995.cif,0.55,heavy-Fermion,U1Ge2,order
647919.cif,0.85,others,Pd7P3,order
190485.cif,3.1,heavy-Fermion,La3Rh4Sn13,order
650786.cif,2.053333,others,Zr1Ru2,order
623774.cif,0.56,others,Hf2Co1,order
647876.cif,2.95,others,Os2Zr1,order
673848.cif,2.1,others,Ir2Ba1P2,order
649242.cif,0.945,heavy-Fermion,Pr1Ru4Sb12,order
603189.cif,4.226667,heavy-Fermion,La3Co1,order
43263.cif,0.205,others,Mo1As2,order
612239.cif,4.325,others,Au1Pb3,order
600661.cif,7.7,others,Mo6Ag1S8,order
645115.cif,3.15,others,Nb1Ni2Sn1,order
185377.cif,3.3,others,Ir1Ca1Si3,order
56261.cif,2.6575,others,Au2Pb1,order
B1H1.cif,21.4,h_based,B1H1,order
23247.cif,5.527455,others,Ga1,order
619329.cif,2.1,others,Ca3Rh4Ge13,order
636934.cif,2.79,heavy-Fermion,Lu5Rh4Ge10,order
636535.cif,3.9475,others,Ge1,order
649849.cif,2.835,others,Y1Pt2,order
612356.cif,1.25,others,Au1Sn1,order
614703.cif,10.093625,heavy-Fermion,Lu1Rh4B4,order
600058.cif,3.15,others,Ta1Ru1Si1,order
150740.cif,3.68,heavy-Fermion,Th1Ru2,order
160383.cif,4.9,others,Bi1Sn1,order
150819.cif,0.37,heavy-Fermion,Th1Ir1,order
658217.cif,2.7,heavy-Fermion,La1Pd1Sb2,order
105675.cif,2.145,others,Sc1Pd2Sn1,order
617101.cif,4.898,others,Bi2Se3,order
104607.cif,2.13,others,Ir1Zr3,order
644511.cif,2.743,others,Zr1Mo2,order
606030.cif,0.55,others,Au4Al1,order
26597.cif,3.81,others,Sn1O1,order
645473.cif,17.846,others,Nb3Sn1,order
15058.cif,5.8,others,Mo8P5,order
990.cif,0.6,others,Ru1Sb1,order
653405.cif,8.346667,others,Zr1V2,order
242099.cif,0.435,heavy-Fermion,Lu1B12,order
100599.cif,13.4,others,Mo6S6Br2,order
106157.cif,1.161429,others,Th1,order
52843.cif,0.85,others,Ce1,order
650332.cif,1.1,heavy-Fermion,Th1Rh2Si2,order
641044.cif,2.04,others,Ir1Zr1Si1,order
105977.cif,0.56,others,Y1Rh5,order
